"Comment","Designator","Footprint","LCSC Part #"
"4µ7","C103,C104","C_1206_3216Metric","C29823"
"10µ","C101,C102,C105","C_0805_2012Metric","C440198"
"4µ7","L109","L_Changjiang_FXL0530","C177246"
"4m7","L101,L102,L103,L104,L105,L106,L107,L108","L_15x15mm_H8mm","C970556"
"120","R101","R_1206_3216Metric","C17909"
